"","X","Year","FIPS","combined_mort_y","female_mort_y","male_mort_y","Days.with.AQI","Good.Days","Moderate.Days","Unhealthy.Sensitive.Days","Unhealthy.Days","Very.Unhealthy.Days","Hazardous.Days","Max.AQI","Ninetieth.Percentile.AQI","Median.AQI","Days.CO","Days.NO2","Days.Ozone","Days.SO2","Days.PM2.5","Days.PM10","Latitude","Longitude","mean_mort_c","mean_mort_f","mean_mort_m"
"1",2073,1985,8007,1.15822348900103,1.0399253910828,1.06807086280389,177,0.593220338983051,0.401129943502825,0.00564971751412429,0,0,0,115,71,43,0,0,0,0,0,1,37.202395,107.050863,46.1877719664428,28.3605553342715,75.8707721863693
"2",2074,1985,34003,0.616671546342162,0.697126497547943,0.588765101990949,361,0.28808864265928,0.53185595567867,0.138504155124654,0.0415512465373961,0,0,200,108,67,0.0498614958448753,0.385041551246537,0.185595567867036,0.379501385041551,0,0,40.95909,74.074522,46.1877719664428,28.3605553342715,75.8707721863693
"3",2075,1985,22073,1.02382234441507,1.12868749501659,0.983130414851947,360,0.808333333333333,0.144444444444444,0.0416666666666667,0.00555555555555556,0,0,154,71,35,0,0,0.938888888888889,0.0611111111111111,0,0,32.477495,92.154798,46.1877719664428,28.3605553342715,75.8707721863693
"4",2076,1985,48439,1.06449105237425,1.13771542128922,1.06938571229126,365,0.50958904109589,0.323287671232877,0.112328767123288,0.0356164383561644,0.0191780821917808,0,226,126,49,0.0493150684931507,0.208219178082192,0.621917808219178,0.0931506849315069,0,0.0273972602739726,32.77204,97.291291,46.1877719664428,28.3605553342715,75.8707721863693
"5",2077,1985,30111,1.20337452160861,1.19039229114106,1.21498525421348,365,0.142465753424658,0.161643835616438,0.432876712328767,0.263013698630137,0,0,200,183,123,0.10958904109589,0,0,0.89041095890411,0,0,45.936987,108.276656,46.1877719664428,28.3605553342715,75.8707721863693
"6",2078,1985,47055,0.876238912144874,0.643408040630959,0.997889824166066,365,0.819178082191781,0.167123287671233,0.0136986301369863,0,0,0,122,67,33,0,0.0246575342465753,0.528767123287671,0.446575342465753,0,0,35.202723,87.035319,46.1877719664428,28.3605553342715,75.8707721863693
"7",2079,1985,25003,0.949356758340381,1.00740936098092,0.961202731194489,356,0.73876404494382,0.224719101123595,0.0252808988764045,0.0112359550561798,0,0,172,77,40,0,0,0.553370786516854,0.446629213483146,0,0,42.375314,73.213948,46.1877719664428,28.3605553342715,75.8707721863693
"8",2080,1985,41039,1.06877512988853,1.18421705559455,0.978637197527446,365,0.742465753424657,0.191780821917808,0.0602739726027397,0.00547945205479452,0,0,157,76,40,0.391780821917808,0,0.49041095890411,0,0,0.117808219178082,43.928276,122.897678,46.1877719664428,28.3605553342715,75.8707721863693
"9",2081,1985,17001,0.907701934112271,0.730880811000694,1.01193428459698,363,0.724517906336088,0.184573002754821,0.0909090909090909,0,0,0,142,97,37,0,0,0.727272727272727,0.272727272727273,0,0,39.986053,91.194961,46.1877719664428,28.3605553342715,75.8707721863693
"10",2082,1985,1097,1.01207454209736,1.01388369049426,1.03608524356809,302,0.639072847682119,0.248344370860927,0.102649006622517,0.00993377483443709,0,0,198,101,44,0,0,0.672185430463576,0.248344370860927,0,0.0794701986754967,30.684573,88.196568,46.1877719664428,28.3605553342715,75.8707721863693
"11",2083,1985,37021,0.927242201932377,0.946686980066993,0.931925529829258,192,0.770833333333333,0.229166666666667,0,0,0,0,100,71,40,0,0,1,0,0,0,35.609371,82.530426,46.1877719664428,28.3605553342715,75.8707721863693
"12",2084,1985,6067,1.25929588370123,1.42662115053227,1.16015894678346,365,0.408219178082192,0.367123287671233,0.131506849315068,0.0575342465753425,0.0356164383561644,0,259,143,58,0.23013698630137,0.227397260273973,0.53972602739726,0.00273972602739726,0,0,38.450011,121.340441,46.1877719664428,28.3605553342715,75.8707721863693
"13",2085,1985,21041,1.13041839535531,1.03186364031396,1.134343856952,356,0.589887640449438,0.241573033707865,0.140449438202247,0.0280898876404494,0,0,194,118,41,0,0,0,1,0,0,38.668284,85.124083,46.1877719664428,28.3605553342715,75.8707721863693
"14",2086,1985,4027,1.19159671351086,1.10295482322865,1.05791849924917,317,0.798107255520505,0.167192429022082,0.0220820189274448,0.0126182965299685,0,0,169,68,32,0.479495268138801,0,0.451104100946372,0,0,0.0694006309148265,32.773942,113.910905,46.1877719664428,28.3605553342715,75.8707721863693
"15",2087,1985,20181,1.15729747292219,0.949127796822945,1.28079247637385,21,0.952380952380952,0.0476190476190476,0,0,0,0,55,36,20,0,0,0,0,0,1,39.351352,101.719859,46.1877719664428,28.3605553342715,75.8707721863693
"16",2088,1985,12127,0.9200813046002,1.06910052289661,0.79728527084433,324,1,0,0,0,0,0,47,7,0,0,0,0,1,0,0,29.057617,81.161813,46.1877719664428,28.3605553342715,75.8707721863693
"17",2089,1985,21161,1.10460412960529,1.17497210866959,1.06246644132896,15,1,0,0,0,0,0,44,41,19,0,0,0,0,0,1,38.594068,83.828052,46.1877719664428,28.3605553342715,75.8707721863693
"18",2090,1985,17163,1.05310325637481,1.04324549926552,1.08212418835825,365,0.287671232876712,0.380821917808219,0.26027397260274,0.0712328767123288,0,0,200,141,71,0.00273972602739726,0.164383561643836,0.131506849315068,0.682191780821918,0,0.0191780821917808,38.470198,89.928546,46.1877719664428,28.3605553342715,75.8707721863693
"19",2091,1985,39135,0.90355687477856,0.86141423888395,0.888535093778832,350,0.8,0.157142857142857,0.0371428571428571,0.00571428571428571,0,0,161,77,35,0,0,1,0,0,0,39.737906,84.645358,46.1877719664428,28.3605553342715,75.8707721863693
"20",2092,1985,55061,0.72561115887831,0.504024022822729,0.79963518675615,154,0.733766233766234,0.201298701298701,0.0324675324675325,0.0324675324675325,0,0,182,90,40,0,0,1,0,0,0,44.500949,87.161813,46.1877719664428,28.3605553342715,75.8707721863693
"21",2093,1985,48355,0.945308906456899,1.03030277026623,0.880388385509075,364,0.667582417582418,0.239010989010989,0.0686813186813187,0.021978021978022,0.00274725274725275,0,201,94,40,0,0,0.541208791208791,0.184065934065934,0,0.274725274725275,27.739406,97.521643,46.1877719664428,28.3605553342715,75.8707721863693
"22",2094,1985,48121,1.07551910871444,1.21217420638249,1.03593022410699,330,0.621212121212121,0.175757575757576,0.0757575757575758,0.0818181818181818,0.0454545454545455,0,238,161,43,0,0,1,0,0,0,33.205005,97.119046,46.1877719664428,28.3605553342715,75.8707721863693
"23",2095,1985,35017,1.32790803936277,1.30058370591074,1.27370977747614,359,0.768802228412256,0.13091922005571,0.0668523676880223,0.0334261838440111,0,0,194,103,14,0,0,0,1,0,0,32.732087,108.381504,46.1877719664428,28.3605553342715,75.8707721863693
"24",2096,1985,35023,1.17611785537984,1.14647564124529,1.19094854223551,346,0.53757225433526,0.167630057803468,0.202312138728324,0.092485549132948,0,0,200,148,43,0,0,0,1,0,0,31.899658,108.745729,46.1877719664428,28.3605553342715,75.8707721863693
