FIPS,combined_mort_y,female_mort_y,male_mort_y,Year,Days with AQI,Good Days,Moderate Days,Unhealthy Sensitive Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,Ninetieth Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days SO2,Days PM2.5,Days PM10,Latitude,Longitude
1071.0,41.84071561965921,15.245708295979998,82.5825380473844,1980,366,0.23224043715846995,0.3005464480874317,0.25136612021857924,0.21584699453551912,0.0,0.0,200,200,94,0.0,0.0,0.0,1.0,0.0,0.0,34.763521999999995,85.9774
1071.0,41.86725016622521,15.6098180048487,82.432176410952,1981,365,0.14520547945205478,0.19452054794520549,0.4027397260273973,0.2575342465753425,0.0,0.0,200,200,116,0.0,0.0,0.0,1.0,0.0,0.0,34.763521999999995,85.9774
1071.0,45.072740742995904,18.6680141453309,86.5908110050684,1984,362,0.6850828729281768,0.18232044198895028,0.10220994475138122,0.03038674033149171,0.0,0.0,200,106,31,0.0,0.0,0.0,1.0,0.0,0.0,34.763521999999995,85.9774
1071.0,48.476122143214795,21.486023375440197,91.5640447465644,1986,337,0.6231454005934718,0.27596439169139464,0.08605341246290801,0.014836795252225518,0.0,0.0,200,102,39,0.0,0.0,0.0,1.0,0.0,0.0,34.763521999999995,85.9774
1071.0,52.9134043492902,27.143855612829,94.58597392360608,1990,355,0.6507042253521127,0.2422535211267605,0.09577464788732394,0.011267605633802821,0.0,0.0,191,101,36,0.0,0.0,0.0,0.9549295774647888,0.0,0.04507042253521127,34.763521999999995,85.9774
1071.0,54.671953657216214,28.600756994309002,96.9173543416439,1991,361,0.7119113573407202,0.2326869806094183,0.05540166204986149,0.0,0.0,0.0,140,85,30,0.0,0.0,0.0,0.9362880886426592,0.0,0.06371191135734072,34.763521999999995,85.9774
1071.0,54.6630364289565,30.4122231377769,94.6748440755488,1992,364,0.7554945054945055,0.1978021978021978,0.038461538461538464,0.008241758241758242,0.0,0.0,200,75,24,0.0,0.0,0.0,0.9148351648351648,0.0,0.08516483516483518,34.763521999999995,85.9774
1071.0,60.158562828852396,35.5091113324132,101.06295691054899,1994,365,0.873972602739726,0.0904109589041096,0.030136986301369864,0.0054794520547945215,0.0,0.0,160,61,16,0.0,0.0,0.0,0.9232876712328768,0.0,0.07671232876712329,34.763521999999995,85.9774
1071.0,64.3702632662661,40.6644081097298,104.32033435940001,1996,350,0.9057142857142856,0.08,0.014285714285714284,0.0,0.0,0.0,119,47,13,0.0,0.0,0.0,0.9228571428571428,0.0,0.07714285714285714,34.763521999999995,85.9774
1071.0,78.317099859029,58.529066679079506,111.754461222362,2003,365,0.9041095890410958,0.06575342465753424,0.021917808219178082,0.00821917808219178,0.0,0.0,199,47,7,0.0,0.0,0.0,1.0,0.0,0.0,34.763521999999995,85.9774
1071.0,81.8330352639115,63.2549023988251,112.05799482614799,2005,364,0.8846153846153846,0.09615384615384616,0.019230769230769232,0.0,0.0,0.0,131,56,11,0.0,0.008241758241758242,0.046703296703296704,0.9450549450549448,0.0,0.0,34.763521999999995,85.9774
1071.0,84.44943158996792,66.1126985431342,112.34015405200199,2007,273,0.9377289377289376,0.058608058608058615,0.003663003663003664,0.0,0.0,0.0,120,40,9,0.0,0.0,0.0,1.0,0.0,0.0,34.763521999999995,85.9774
1097.0,43.78033030328,25.2547877530872,76.0480434432728,1980,286,0.6293706293706294,0.2167832167832168,0.12237762237762236,0.02797202797202797,0.0034965034965034965,0.0,204,119,41,0.0,0.0,0.23776223776223776,0.7622377622377622,0.0,0.0,30.684572999999997,88.196568
1097.0,46.554003935470895,27.73363995632789,79.6666883199096,1984,321,0.5451713395638629,0.2554517133956386,0.17445482866043613,0.024922118380062305,0.0,0.0,177,120,48,0.0,0.0,0.6417445482866043,0.3582554517133956,0.0,0.0,30.684572999999997,88.196568
1097.0,48.633163716852295,31.052311292410497,79.9430367903527,1986,287,0.4668989547038328,0.28222996515679444,0.2195121951219512,0.0313588850174216,0.0,0.0,185,122,54,0.0,0.0,0.4076655052264808,0.5087108013937283,0.0,0.08362369337979095,30.684572999999997,88.196568
1097.0,50.183279560677995,35.2556644095953,76.9894310520205,1992,366,0.4644808743169399,0.23224043715846995,0.2704918032786885,0.032786885245901634,0.0,0.0,180,131,55,0.0,0.0,0.3633879781420765,0.5819672131147541,0.0,0.0546448087431694,30.684572999999997,88.196568
1097.0,55.7134688682991,40.6080053567405,82.71910514327121,1995,352,0.5028409090909091,0.19318181818181812,0.29261363636363635,0.011363636363636364,0.0,0.0,170,130,50,0.0,0.0,0.5397727272727273,0.4346590909090909,0.0,0.02556818181818182,30.684572999999997,88.196568
1097.0,63.737854010459,51.07747177175771,85.77297025971959,2001,326,0.6840490797546013,0.2668711656441718,0.04601226993865031,0.003067484662576687,0.0,0.0,159,84,43,0.0,0.0,0.5797546012269938,0.12269938650306747,0.25153374233128833,0.04601226993865031,30.684572999999997,88.196568
1097.0,63.58455453002691,50.04332214873779,86.651891800105,2002,365,0.6767123287671233,0.27945205479452057,0.04383561643835617,0.0,0.0,0.0,150,77,40,0.0821917808219178,0.0,0.5287671232876713,0.136986301369863,0.2054794520547945,0.046575342465753435,30.684572999999997,88.196568
1097.0,64.3059824693843,52.6115005553275,83.16785519983941,2009,358,0.8519553072625698,0.13687150837988826,0.0111731843575419,0.0,0.0,0.0,133,58,35,0.0,0.0,0.5810055865921788,0.0,0.20391061452513967,0.2150837988826816,30.684572999999997,88.196568
