"","X","Year","FIPS","combined_mort_y","female_mort_y","male_mort_y","Days.with.AQI","Good.Days","Moderate.Days","Unhealthy.Sensitive.Days","Unhealthy.Days","Very.Unhealthy.Days","Hazardous.Days","Max.AQI","Ninetieth.Percentile.AQI","Median.AQI","Days.CO","Days.NO2","Days.Ozone","Days.SO2","Days.PM2.5","Days.PM10","Latitude","Longitude","mean_mort_c","mean_mort_f","mean_mort_m"
"1",4640,1990,51161,0.870079885599255,0.897250585045755,0.902092352172038,365,0.791780821917808,0.183561643835616,0.0246575342465753,0,0,0,129,71,40,0,0.210958904109589,0.742465753424657,0.0465753424657534,0,0,37.331077,80.19011,48.6304253763945,32.7674502835529,75.3966734734772
"2",4641,1990,49037,0.872323295605326,0.741456050816509,0.893969067232418,91,1,0,0,0,0,0,37,24,16,0,0,0,0,1,0,37.623064,109.78932,48.6304253763945,32.7674502835529,75.3966734734772
"3",4642,1990,39077,0.967996123021541,0.898440623964617,1.01105685788585,211,0.781990521327014,0.151658767772512,0.0616113744075829,0.004739336492891,0,0,151,90,39,0,0,1,0,0,0,41.14508,82.594641,48.6304253763945,32.7674502835529,75.3966734734772
"4",4643,1990,18173,1.01627969320419,0.918139414567427,1.0663760566414,365,0.112328767123288,0.191780821917808,0.435616438356164,0.26027397260274,0,0,200,179,119,0,0,0.134246575342466,0.863013698630137,0,0.00273972602739726,38.097764,87.272023,48.6304253763945,32.7674502835529,75.3966734734772
"5",4644,1990,55039,0.682285274370253,0.64362379135421,0.73598050621884,182,0.82967032967033,0.153846153846154,0.0164835164835165,0,0,0,133,64,40,0,0,1,0,0,0,43.754722,88.493284,48.6304253763945,32.7674502835529,75.3966734734772
"6",4645,1990,6083,0.841730006716684,0.994366268096766,0.73192669443848,365,0.29041095890411,0.463013698630137,0.178082191780822,0.0602739726027397,0.00821917808219178,0,238,136,68,0.0164383561643836,0.156164383561644,0.819178082191781,0.00821917808219178,0,0,34.537378,120.038485,48.6304253763945,32.7674502835529,75.3966734734772
"7",4646,1990,36067,0.965666553016055,1.0947383068749,0.91114153131512,365,0.76986301369863,0.180821917808219,0.0410958904109589,0.00821917808219178,0,0,169,71,39,0.301369863013699,0,0.632876712328767,0.0328767123287671,0,0.0328767123287671,43.00653,76.196117,48.6304253763945,32.7674502835529,75.3966734734772
"8",4647,1990,36027,0.979296094872966,1.12996995402212,0.886288078036847,362,0.68232044198895,0.256906077348066,0.0524861878453039,0.00828729281767956,0,0,172,86,37,0,0,0.646408839779006,0.353591160220995,0,0,41.755009,73.739951,48.6304253763945,32.7674502835529,75.3966734734772
"9",4648,1990,1033,1.00620343147504,0.91352698487297,1.07044042519349,359,0.757660167130919,0.114206128133705,0.119777158774373,0.00835654596100279,0,0,192,106,16,0,0,0,0.902506963788301,0,0.0974930362116992,34.703112,87.801457,48.6304253763945,32.7674502835529,75.3966734734772
"10",4649,1990,25009,0.825389687745657,0.91898779272452,0.799086253323989,365,0.473972602739726,0.356164383561644,0.164383561643836,0.00547945205479452,0,0,200,107,54,0,0,0.282191780821918,0.717808219178082,0,0,42.642711,70.865107,48.6304253763945,32.7674502835529,75.3966734734772
"11",4650,1990,42043,0.91685874924035,0.863074370537664,0.983619800499906,365,0.706849315068493,0.213698630136986,0.0547945205479452,0.0191780821917808,0.00547945205479452,0,212,97,42,0.0712328767123288,0.323287671232877,0.482191780821918,0.117808219178082,0,0.00547945205479452,40.412565,76.792634,48.6304253763945,32.7674502835529,75.3966734734772
"12",4651,1990,49035,0.882496954507205,0.803114105126071,0.916944076127359,365,0.115068493150685,0.345205479452055,0.416438356164384,0.123287671232877,0,0,200,161,104,0.00273972602739726,0,0.0684931506849315,0.879452054794521,0,0.0493150684931507,40.667882,111.924244,48.6304253763945,32.7674502835529,75.3966734734772
"13",4652,1990,16001,1.11599410290965,1.13679821964724,1.09213489065136,200,0.6,0.4,0,0,0,0,87,65,44,0.665,0,0,0,0,0.335,43.447861,116.244456,48.6304253763945,32.7674502835529,75.3966734734772
"14",4653,1990,51085,0.971979676320099,1.00936447341879,0.969381355534938,207,0.584541062801932,0.289855072463768,0.115942028985507,0.00966183574879227,0,0,159,105,46,0,0,1,0,0,0,37.760166,77.490992,48.6304253763945,32.7674502835529,75.3966734734772
"15",4654,1990,27123,0.862689908679534,0.962740617197113,0.848827090743832,365,0.665753424657534,0.326027397260274,0.00547945205479452,0.00273972602739726,0,0,157,64,44,0.419178082191781,0.164383561643836,0,0.0465753424657534,0,0.36986301369863,45.01525,93.100141,48.6304253763945,32.7674502835529,75.3966734734772
"16",4655,1990,56033,1.31706369235475,1.32106426038924,1.3044739194342,163,0.785276073619632,0.214723926380368,0,0,0,0,100,58,32,0,0,0,0,0,1,44.781369,106.881211,48.6304253763945,32.7674502835529,75.3966734734772
"17",4656,1990,18059,1.13465413243536,1.27664772404222,1.06054111689524,214,0.738317757009346,0.154205607476636,0.0794392523364486,0.0280373831775701,0,0,185,105,38,0,0,1,0,0,0,39.822604,85.772904,48.6304253763945,32.7674502835529,75.3966734734772
"18",4657,1990,12086,0.73024732701599,0.789986357250213,0.677238492075428,365,0.778082191780822,0.202739726027397,0.0164383561643836,0.00273972602739726,0,0,164,64,40,0.197260273972603,0.13972602739726,0.589041095890411,0,0.0547945205479452,0.0191780821917808,25.610494,80.499045,48.6304253763945,32.7674502835529,75.3966734734772
"19",4658,1990,6041,0.872211395349057,1.12133094723945,0.705856031123254,365,0.904109589041096,0.0958904109589041,0,0,0,0,81,49,32,0.0383561643835617,0.402739726027397,0.432876712328767,0,0.10958904109589,0.0164383561643836,38.051817,122.745974,48.6304253763945,32.7674502835529,75.3966734734772
"20",4659,1990,55141,0.717269896494647,0.660697357309011,0.746438645080999,34,0.911764705882353,0.0882352941176471,0,0,0,0,84,41,17,0,0,0,1,0,0,44.461413,90.038825,48.6304253763945,32.7674502835529,75.3966734734772
"21",4660,1990,1091,0.904605610132072,0.742085405849495,1.03427827644276,59,0.932203389830508,0.0677966101694915,0,0,0,0,67,47,20,0,0,0,0,0,1,32.247591,87.791091,48.6304253763945,32.7674502835529,75.3966734734772
