"","Year","FIPS","combined_mort_y","female_mort_y","male_mort_y","Days.with.AQI","Good.Days","Moderate.Days","Unhealthy.Sensitive.Days","Unhealthy.Days","Very.Unhealthy.Days","Hazardous.Days","Max.AQI","Ninetieth.Percentile.AQI","Median.AQI","Days.CO","Days.NO2","Days.Ozone","Days.SO2","Days.PM2.5","Days.PM10","Latitude","Longitude","mean_mort_c","mean_mort_f","mean_mort_m"
"1",1980,1071,0.971869058276762,0.630697243507952,1.11969711367014,366,0.23224043715847,0.300546448087432,0.251366120218579,0.215846994535519,0,0,200,200,94,0,0,0,1,0,0,34.763522,85.9774,43.0518033919587,24.1727840939704,73.7543546724841
"2",1980,28089,0.888692984221127,0.791306999407406,0.904269081939375,287,0.752613240418119,0.146341463414634,0.0905923344947735,0.00696864111498258,0.00348432055749129,0,205,101,36,0,0,1,0,0,0,32.63437,90.03416,43.0518033919587,24.1727840939704,73.7543546724841
"3",1980,25005,0.753385532924969,0.757881596502607,0.793714602535605,366,0.53551912568306,0.292349726775956,0.120218579234973,0.0437158469945355,0.00819672131147541,0,220,123,49,0,0,0.346994535519126,0.653005464480874,0,0,41.748576,71.087062,43.0518033919587,24.1727840939704,73.7543546724841
"4",1980,53009,0.942870280745413,1.19142894068699,0.773199881914627,307,0.211726384364821,0.221498371335505,0.37785016286645,0.188925081433225,0,0,200,169,107,0,0,0,1,0,0,48.113009,123.930611,43.0518033919587,24.1727840939704,73.7543546724841
"5",1980,48039,1.04772432281096,0.961941397534739,1.05213761368953,266,0.827067669172932,0.12406015037594,0.037593984962406,0.0075187969924812,0.0037593984962406,0,203,74,34,0,0.342105263157895,0.620300751879699,0.037593984962406,0,0,29.167818,95.434647,43.0518033919587,24.1727840939704,73.7543546724841
"6",1980,29077,1.08588812886857,1.05227497824742,1.13827391624219,366,0.628415300546448,0.202185792349727,0.139344262295082,0.0300546448087432,0,0,190,112,39,0,0,0.311475409836066,0.688524590163934,0,0,37.258196,93.340641,43.0518033919587,24.1727840939704,73.7543546724841
"7",1980,8069,1.22528867948668,1.2929756921701,1.18749150814001,320,0.678125,0.271875,0.034375,0.015625,0,0,190,85,34,0.859375,0,0.140625,0,0,0,40.663091,105.482131,43.0518033919587,24.1727840939704,73.7543546724841
"8",1980,42071,0.864972340124456,0.858328389647296,0.876721654243651,356,0.592696629213483,0.317415730337079,0.0674157303370786,0.0168539325842697,0.00561797752808989,0,205,100,46,0.00842696629213483,0.22191011235955,0.373595505617978,0.396067415730337,0,0,40.041992,76.250198,43.0518033919587,24.1727840939704,73.7543546724841
"9",1980,10003,0.869711918347117,1.01060878860982,0.826945210297032,356,0.151685393258427,0.432584269662921,0.325842696629214,0.0702247191011236,0.0196629213483146,0,228,148,93,0.0112359550561798,0.207865168539326,0.26123595505618,0.519662921348315,0,0,39.575915,75.644132,43.0518033919587,24.1727840939704,73.7543546724841
"10",1980,55063,0.924710862386926,0.841165599825002,1.0081786222593,165,0.872727272727273,0.096969696969697,0.0181818181818182,0.0121212121212121,0,0,169,61,33,0,0,1,0,0,0,43.908222,91.111758,43.0518033919587,24.1727840939704,73.7543546724841
"11",1980,18045,1.14990945708474,1.02205203797325,1.23958548004753,211,0.587677725118483,0.241706161137441,0.132701421800948,0.037914691943128,0,0,200,119,44,0,0,0,1,0,0,40.121282,87.234806,43.0518033919587,24.1727840939704,73.7543546724841
"12",1980,38025,0.725657469306759,0.428529866668406,0.720302439910296,324,0.901234567901235,0.0679012345679012,0.0277777777777778,0.00308641975308642,0,0,161,50,29,0,0.0771604938271605,0.645061728395062,0.277777777777778,0,0,47.35461,102.612365,43.0518033919587,24.1727840939704,73.7543546724841
"13",1980,1097,1.0169220997478,1.04476123457317,1.03109902840279,286,0.629370629370629,0.216783216783217,0.122377622377622,0.027972027972028,0.0034965034965035,0,204,119,41,0,0,0.237762237762238,0.762237762237762,0,0,30.684573,88.196568,43.0518033919587,24.1727840939704,73.7543546724841
"14",1980,29165,1.0973376594759,1.16413114828972,1.03900333742177,328,0.649390243902439,0.207317073170732,0.109756097560976,0.0274390243902439,0.00609756097560976,0,210,115,33,0.00914634146341463,0,0.625,0.365853658536585,0,0,39.378696,94.761472,43.0518033919587,24.1727840939704,73.7543546724841
"15",1980,48135,1.30843797059358,1.46705085756843,1.2148806179336,328,0.75609756097561,0.210365853658537,0.0304878048780488,0.00304878048780488,0,0,164,74,43,0.0152439024390244,0.225609756097561,0.73780487804878,0.0213414634146341,0,0,31.865301,102.542507,43.0518033919587,24.1727840939704,73.7543546724841
"16",1980,12001,1.08989323778851,1.08031144337664,1.06827440586812,152,0.921052631578947,0.0526315789473684,0.0131578947368421,0.0131578947368421,0,0,177,48,24,0,0,0.921052631578947,0.0789473684210526,0,0,29.67574,82.357221,43.0518033919587,24.1727840939704,73.7543546724841
"17",1980,8077,1.28983356762073,1.22720028057384,1.25234661343928,303,0.943894389438944,0.0561056105610561,0,0,0,0,67,47,18,1,0,0,0,0,0,39.019492,108.461837,43.0518033919587,24.1727840939704,73.7543546724841
"18",1980,55105,0.934171111720146,0.995193348718198,0.914969858605476,366,0.609289617486339,0.224043715846995,0.150273224043716,0.0163934426229508,0,0,200,117,39,0,0.0710382513661202,0.396174863387978,0.532786885245902,0,0,42.669931,89.075119,43.0518033919587,24.1727840939704,73.7543546724841
