FIPS,combined_mort_y,female_mort_y,male_mort_y,Year,Days.with.AQI,Good.Days,Moderate.Days,Unhealthy.Sensitive.Days,Unhealthy.Days,Very.Unhealthy.Days,Hazardous.Days,Max.AQI,Ninetieth.Percentile.AQI,Median.AQI,Days.CO,Days.NO2,Days.Ozone,Days.SO2,Days.PM2.5,Days.PM10,Latitude,Longitude,mean_mort_c,mean_mort_f,mean_mort_m
1071,41.84071561965921,15.245708295979998,82.5825380473844,1980,366,0.23224043715847,0.300546448087432,0.251366120218579,0.215846994535519,0.0,0.0,200,200,94,0.0,0.0,0.0,1.0,0.0,0.0,34.763521999999995,85.9774,43.05180339195871,24.1727840939704,73.7543546724841
28089,38.259835632501,19.128093248722802,66.69378258871821,1980,287,0.752613240418119,0.146341463414634,0.0905923344947735,0.006968641114982579,0.0034843205574912896,0.0,205,101,36,0.0,0.0,1.0,0.0,0.0,0.0,32.634370000000004,90.03416,43.05180339195871,24.1727840939704,73.7543546724841
25005,32.4346058418318,18.320108201051102,58.5399083041407,1980,366,0.53551912568306,0.292349726775956,0.120218579234973,0.0437158469945355,0.008196721311475409,0.0,220,123,49,0.0,0.0,0.34699453551912607,0.653005464480874,0.0,0.0,41.748576,71.087062,43.05180339195871,24.1727840939704,73.7543546724841
53009,40.5922659507724,28.8001545465344,57.0268583234542,1980,307,0.21172638436482102,0.22149837133550498,0.37785016286645,0.188925081433225,0.0,0.0,200,169,107,0.0,0.0,0.0,1.0,0.0,0.0,48.113009000000005,123.93061100000001,43.05180339195871,24.1727840939704,73.7543546724841
48039,45.1064215546303,23.252801713659395,77.59973072431859,1980,266,0.8270676691729321,0.12406015037594,0.037593984962406,0.0075187969924812,0.0037593984962406,0.0,203,74,34,0.0,0.34210526315789497,0.620300751879699,0.037593984962406,0.0,0.0,29.167818,95.434647,43.05180339195871,24.1727840939704,73.7543546724841
29077,46.7494422297114,25.4364158566623,83.9526581329639,1980,366,0.628415300546448,0.202185792349727,0.139344262295082,0.0300546448087432,0.0,0.0,190,112,39,0.0,0.0,0.31147540983606603,0.688524590163934,0.0,0.0,37.258196000000005,93.340641,43.05180339195871,24.1727840939704,73.7543546724841
8069,52.7508873276531,31.2548222455797,87.5826698619211,1980,320,0.678125,0.271875,0.034375,0.015625,0.0,0.0,190,85,34,0.859375,0.0,0.140625,0.0,0.0,0.0,40.663090999999994,105.48213100000001,43.05180339195871,24.1727840939704,73.7543546724841
42071,37.2386191265205,20.748186844669398,64.6620398361332,1980,356,0.5926966292134829,0.317415730337079,0.0674157303370786,0.0168539325842697,0.00561797752808989,0.0,205,100,46,0.00842696629213483,0.22191011235955,0.373595505617978,0.39606741573033705,0.0,0.0,40.041992,76.250198,43.05180339195871,24.1727840939704,73.7543546724841
10003,37.44266651632329,24.4292280505342,60.9908103349592,1980,356,0.151685393258427,0.4325842696629211,0.325842696629214,0.0702247191011236,0.0196629213483146,0.0,228,148,93,0.0112359550561798,0.20786516853932602,0.26123595505617997,0.519662921348315,0.0,0.0,39.575915,75.644132,43.05180339195871,24.1727840939704,73.7543546724841
55063,39.8104702418905,20.333314431844897,74.357563679329,1980,165,0.8727272727272729,0.096969696969697,0.0181818181818182,0.0121212121212121,0.0,0.0,169,61,33,0.0,0.0,1.0,0.0,0.0,0.0,43.908221999999995,91.111758,43.05180339195871,24.1727840939704,73.7543546724841
