"","Unnamed..0","Year","FIPS","combined_mort_y","female_mort_y","male_mort_y","Days.with.AQI","Good.Days","Moderate.Days","Unhealthy.Sensitive.Days","Unhealthy.Days","Very.Unhealthy.Days","Hazardous.Days","Max.AQI","Ninetieth.Percentile.AQI","Median.AQI","Days.CO","Days.NO2","Days.Ozone","Days.SO2","Days.PM2.5","Days.PM10","Latitude","Longitude","mean_mort_c","mean_mort_f","mean_mort_m"
"13",2085,1985,21041,58.378685781592,48.2263826894808,75.359759524671,356,0.589887640449438,0.241573033707865,0.140449438202247,0.0280898876404494,0,0,194,118,41,0,0,0,1,0,0,38.668284,85.124083,46.1877719664428,28.3605553342715,75.8707721863693
"14",2086,1985,4027,46.9797366010492,28.9566352827815,80.5279186581042,317,0.798107255520505,0.167192429022082,0.0220820189274448,0.0126182965299685,0,0,169,68,32,0.479495268138801,0,0.451104100946372,0,0,0.0694006309148265,32.773942,113.910905,46.1877719664428,28.3605553342715,75.8707721863693
"15",2087,1985,20181,47.7570944420837,31.4310004500846,78.2272163448412,21,0.952380952380952,0.0476190476190476,0,0,0,0,55,36,20,0,0,0,0,0,1,39.351352,101.719859,46.1877719664428,28.3605553342715,75.8707721863693
"16",2088,1985,12127,55.0389617170246,41.1219716627493,80.6219380590959,324,1,0,0,0,0,0,47,7,0,0,0,0,1,0,0,29.057617,81.161813,46.1877719664428,28.3605553342715,75.8707721863693
"17",2089,1985,21161,51.8353338604972,37.0478780497912,79.285874163564,15,1,0,0,0,0,0,44,41,19,0,0,0,0,0,1,38.594068,83.828052,46.1877719664428,28.3605553342715,75.8707721863693
"18",2090,1985,17163,43.0126001413947,24.7344219501531,76.3649659921322,365,0.287671232876712,0.380821917808219,0.26027397260274,0.0712328767123288,0,0,200,141,71,0.00273972602739726,0.164383561643836,0.131506849315068,0.682191780821918,0,0.0191780821917808,38.470198,89.928546,46.1877719664428,28.3605553342715,75.8707721863693
"19",2091,1985,39135,45.5623736897287,27.9863413181621,78.2235454730091,350,0.8,0.157142857142857,0.0371428571428571,0.00571428571428571,0,0,161,77,35,0,0,1,0,0,0,39.737906,84.645358,46.1877719664428,28.3605553342715,75.8707721863693
"20",2092,1985,55061,48.1135685544443,32.8879857137008,76.6526897436488,154,0.733766233766234,0.201298701298701,0.0324675324675325,0.0324675324675325,0,0,182,90,40,0,0,1,0,0,0,44.500949,87.161813,46.1877719664428,28.3605553342715,75.8707721863693
"21",2093,1985,48355,54.9256533856685,41.0198657556054,80.4592913531763,364,0.667582417582418,0.239010989010989,0.0686813186813187,0.021978021978022,0.00274725274725275,0,201,94,40,0,0,0.541208791208791,0.184065934065934,0,0.274725274725275,27.739406,97.521643,46.1877719664428,28.3605553342715,75.8707721863693
"22",2094,1985,48121,47.1602914898895,30.6909148311788,77.869268199371,330,0.621212121212121,0.175757575757576,0.0757575757575758,0.0818181818181818,0.0454545454545455,0,238,161,43,0,0,1,0,0,0,33.205005,97.119046,46.1877719664428,28.3605553342715,75.8707721863693
"23",2095,1985,35017,58.3978270715976,47.6982453244506,75.7559049287122,359,0.768802228412256,0.13091922005571,0.0668523676880223,0.0334261838440111,0,0,194,103,14,0,0,0,1,0,0,32.732087,108.381504,46.1877719664428,28.3605553342715,75.8707721863693
"24",2096,1985,35023,51.2626459973193,37.0509810931265,77.8568923352633,346,0.53757225433526,0.167630057803468,0.202312138728324,0.092485549132948,0,0,200,148,43,0,0,0,1,0,0,31.899658,108.745729,46.1877719664428,28.3605553342715,75.8707721863693
