"","Unnamed..0","Year","FIPS","combined_mort_y","female_mort_y","male_mort_y","Days.with.AQI","Good.Days","Moderate.Days","Unhealthy.Sensitive.Days","Unhealthy.Days","Very.Unhealthy.Days","Hazardous.Days","Max.AQI","Ninetieth.Percentile.AQI","Median.AQI","Days.CO","Days.NO2","Days.Ozone","Days.SO2","Days.PM2.5","Days.PM10","Latitude","Longitude","mean_mort_c","mean_mort_f","mean_mort_m"
"1",15499,2005,6059,56.5061009356875,46.6606796631014,72.2702969456171,365,0.342465753424658,0.580821917808219,0.073972602739726,0.00273972602739726,0,0,155,93,57,0,0.120547945205479,0.405479452054795,0,0.473972602739726,0,33.675687,117.777207,61.141454094924,51.2664234464529,76.6514738566083
"2",15500,2005,25001,54.1304803404804,46.8561110430098,65.7196305608045,233,0.725321888412017,0.197424892703863,0.0472103004291846,0.0300429184549356,0,0,174,87,42,0,0.00858369098712446,0.751072961373391,0,0.240343347639485,0,41.798819,70.211083,61.141454094924,51.2664234464529,76.6514738566083
"3",15501,2005,37089,50.485604703454,37.7691424402073,73.490867467879,53,1,0,0,0,0,0,37,29,17,0,0,0,0,0,1,35.336424,82.479634,61.141454094924,51.2664234464529,76.6514738566083
"4",15502,2005,27083,55.3141267025814,47.0280784815862,69.0260175930726,222,0.725225225225225,0.261261261261261,0.0135135135135135,0,0,0,115,69,42,0,0,0.509009009009009,0,0.490990990990991,0,44.409195,95.847268,61.141454094924,51.2664234464529,76.6514738566083
"5",15503,2005,27169,53.9083172884572,46.9742149795507,64.8075923833199,119,0.773109243697479,0.201680672268908,0.0168067226890756,0.00840336134453781,0,0,152,63,27,0,0,0,0,1,0,43.982268,91.776708,61.141454094924,51.2664234464529,76.6514738566083
"6",15504,2005,17179,54.4471904794492,48.2789606961432,64.0440170920089,359,0.785515320334262,0.144846796657382,0.0584958217270195,0.011142061281337,0,0,173,84,13,0,0,0,1,0,0,40.508074,89.51626,61.141454094924,51.2664234464529,76.6514738566083
"7",15505,2005,42077,55.9921876337889,46.3648808244759,72.3060478425329,365,0.476712328767123,0.438356164383562,0.073972602739726,0.010958904109589,0,0,166,96,53,0,0.0602739726027397,0.32054794520548,0.0684931506849315,0.550684931506849,0,40.614241,75.590627,61.141454094924,51.2664234464529,76.6514738566083
"8",15506,2005,13049,54.3550093775664,48.1750595640359,64.2205038011393,120,0.816666666666667,0.183333333333333,0,0,0,0,98,57,28,0,0,0,0,1,0,30.779904,82.139644,61.141454094924,51.2664234464529,76.6514738566083
"9",15507,2005,45051,54.1749273547698,47.9401301785925,64.1703238597404,119,0.53781512605042,0.453781512605042,0.00840336134453781,0,0,0,121,72,49,0,0,0,0,1,0,33.909269,78.976675,61.141454094924,51.2664234464529,76.6514738566083
"10",15508,2005,45015,39.6679941515889,21.1983282292391,71.1275699930852,341,0.873900293255132,0.117302052785924,0.00879765395894428,0,0,0,126,58,34,0,0,1,0,0,0,33.2077,79.953655,61.141454094924,51.2664234464529,76.6514738566083
"11",15509,2005,16023,55.6909738820472,47.2813647279368,69.6610565643891,111,1,0,0,0,0,0,29,18,8,0,0,0,0,1,0,43.6851,113.177627,61.141454094924,51.2664234464529,76.6514738566083
"12",15510,2005,16083,54.2134028494679,43.2353615390568,73.3366086899279,326,0.895705521472393,0.098159509202454,0.00613496932515337,0,0,0,114,52,27,0,0,0,0,1,0,42.352309,114.665639,61.141454094924,51.2664234464529,76.6514738566083
"13",15511,2005,4027,49.7257037618231,36.787579942876,73.117998202296,316,0.594936708860759,0.357594936708861,0.0474683544303797,0,0,0,140,80,46,0,0.0316455696202532,0.537974683544304,0,0,0.430379746835443,32.773942,113.910905,61.141454094924,51.2664234464529,76.6514738566083
"14",15512,2005,47031,44.6913432143335,29.2306616506108,73.3329082586776,59,1,0,0,0,0,0,47,39,31,0,0.0338983050847458,0.949152542372881,0.0169491525423729,0,0,35.488759,86.078219,61.141454094924,51.2664234464529,76.6514738566083
"15",15513,2005,47149,44.6177740105519,29.2910783714562,73.154447717645,236,0.622881355932203,0.300847457627119,0.0720338983050847,0.00423728813559322,0,0,166,97,47,0,0,1,0,0,0,35.843369,86.417213,61.141454094924,51.2664234464529,76.6514738566083
"16",15514,2005,29189,55.3157983688782,45.6652069553584,71.4549676313035,365,0.495890410958904,0.356164383561644,0.117808219178082,0.0273972602739726,0.00273972602739726,0,203,115,51,0,0.183561643835616,0.446575342465753,0.10958904109589,0.249315068493151,0.010958904109589,38.640702,90.445954,61.141454094924,51.2664234464529,76.6514738566083
"17",15515,2005,28047,55.9862126976743,47.9630617908863,68.6273765348544,360,0.386111111111111,0.525,0.0805555555555556,0.00833333333333333,0,0,156,100,56,0,0,0.327777777777778,0,0.672222222222222,0,30.416536,89.083376,61.141454094924,51.2664234464529,76.6514738566083
"18",15516,2005,8067,44.9537323775949,28.27506694439,75.561846411295,365,0.608219178082192,0.378082191780822,0.0136986301369863,0,0,0,140,77,47,0,0.0219178082191781,0.956164383561644,0,0,0.0219178082191781,37.287367,107.839718,61.141454094924,51.2664234464529,76.6514738566083
"19",15517,2005,42029,45.7331458396618,31.5089216708457,72.0587124383611,251,0.462151394422311,0.378486055776892,0.127490039840637,0.0318725099601594,0,0,195,115,55,0,0,0.733067729083665,0,0.266932270916335,0,39.973965,75.749732,61.141454094924,51.2664234464529,76.6514738566083
"20",15518,2005,21145,42.0840588863505,24.6552704495715,73.5151743404005,365,0.63013698630137,0.315068493150685,0.0547945205479452,0,0,0,143,87,43,0,0.131506849315068,0.487671232876712,0.0465753424657534,0.254794520547945,0.0794520547945206,37.053688,88.712378,61.141454094924,51.2664234464529,76.6514738566083
"21",15519,2005,35027,55.4670279523428,47.2653942854932,68.8328526358303,112,1,0,0,0,0,0,47,28,11,0,0,0,0,1,0,33.740941,105.449083,61.141454094924,51.2664234464529,76.6514738566083
